prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules,tin_tout
392,15,65,1.5575950145721436,362.4980000000001,975
393,13,47,1.0342686176300049,275.275,611
394,9,59,1.7117681503295898,382.798,531
395,11,33,0.7097647190093994,184.503,363
396,15,65,1.5600078105926514,350.5625,975
397,12,62,1.5147838592529297,382.6745,744
398,13,63,1.3581271171569824,276.789,819
399,11,61,1.5964603424072266,323.008,671
400,20,70,1.5426111221313477,378.2120000000001,1400
401,10,60,1.764594793319702,288.2065,600
402,12,62,1.60487699508667,377.561,744
403,23,73,1.601658821105957,382.4075,1679
404,10,60,1.6248180866241455,354.60200000000003,600
405,24,74,1.5092098712921145,252.217,1776
406,14,64,1.4731221199035645,286.036,896
407,17,67,1.4683561325073242,287.7955,1139
408,15,65,1.4274213314056396,238.6015,975
409,15,65,1.4215083122253418,256.468,975
410,15,65,1.663360834121704,364.7965,975
411,13,40,0.8950042724609375,193.6075,520
412,14,64,1.8912198543548584,359.992,896
413,24,74,1.5597527027130127,377.8165,1776
414,12,62,1.9150991439819336,340.4655,744
415,16,66,1.66457200050354,391.116,1056
416,14,64,1.946949005126953,391.182,896
417,16,66,1.7677052021026611,349.373,1056
418,16,66,1.6854150295257568,314.009,1056
419,8,58,1.6822469234466553,358.278,464
420,10,60,1.6651709079742432,333.2475,600
421,12,62,1.7542788982391355,371.453,744
422,17,34,0.5504171848297119,174.893,578
423,18,68,1.463087797164917,240.2805,1224
424,11,61,1.558452844619751,361.5700000000001,671
425,8,58,1.444601058959961,295.098,464
426,12,62,1.4872312545776367,240.22700000000003,744
427,11,61,1.549412965774536,359.942,671
428,10,60,1.4168479442596436,279.475,600
429,12,62,1.548285961151123,356.6385,744
430,13,63,1.417576551437378,252.807,819
431,27,77,1.7123916149139404,317.592,2079
432,18,68,1.7380061149597168,381.1055,1224
433,18,68,1.447312831878662,231.4905,1224
434,12,47,1.0281744003295898,223.852,564
435,15,65,1.7087788581848145,383.577,975
436,12,62,1.670058012008667,331.812,744
437,13,63,1.713529348373413,363.677,819
438,16,66,1.4273216724395752,242.2085,1056
439,14,51,1.1181387901306152,227.6495,714
440,11,61,1.5795493125915527,387.056,671
441,7,57,1.445469617843628,225.143,399
442,19,69,1.5856916904449463,313.68600000000004,1311
443,11,61,1.4137654304504397,273.8035,671
444,12,62,1.816281795501709,339.257,744
445,12,62,1.519418239593506,384.2265,744
446,7,57,1.7368462085723877,318.952,399
447,11,61,1.7052772045135498,340.436,671
448,11,61,1.497894048690796,239.203,671
449,10,60,1.591258525848389,338.9995,600
450,9,59,1.348484992980957,254.146,531
451,11,61,1.616588830947876,362.03,671
452,7,57,1.7814922332763672,382.073,399
453,14,64,1.5121967792510986,339.6445,896
454,18,68,1.8642711639404297,324.169,1224
455,13,63,1.447746515274048,254.0115,819
456,9,59,1.54742693901062,314.59850000000006,531
457,14,64,1.4440903663635254,277.212,896
458,11,61,1.536417007446289,338.7605,671
459,11,61,1.774522066116333,318.97450000000003,671
460,12,62,1.6564900875091553,385.8105,744
461,22,72,1.502291202545166,294.97950000000003,1584
462,12,62,1.7106211185455322,339.665,744
463,11,61,1.7926061153411863,380.9455,671
464,11,61,1.7207050323486328,337.473,671
465,8,58,1.7200007438659668,357.74300000000005,464
466,7,57,1.8856427669525144,369.2015,399
467,10,60,1.7138688564300537,386.609,600
468,12,62,1.535330057144165,297.1015,744
469,7,57,1.5623281002044678,313.672,399
470,12,62,1.3652589321136477,292.3375,744
471,8,58,1.5610573291778564,341.9965,464
472,12,62,1.431746006011963,252.9045,744
